abandon  放弃，抛弃
abstract  抽象的；摘要
accurate  精确的
acknowledge  承认；答谢
adequate  充足的；适当的
adjust  调整，调节
administer  管理；执行
advocate  提倡；拥护者
aesthetic  审美的；美学
allocate  分配；分派
ambiguous  模糊的；有歧义的
amend  修正；修改
analyze  分析
anonymous  匿名的
anticipate  预期；预料
apparent  明显的；表面上的
arbitrary  任意的；武断的
ascertain  查明；确定
assemble  集合；组装
assess  评估；评价
assign  分配；指派
assumption  假设；假定
authentic  真实的；可靠的
autonomous  自治的；自主的
benchmark  基准；标准
bias  偏见；偏心
calendar  日历；日程表
candidate  候选人；应试者
capacity  容量；能力
challenge  挑战；质疑
circumstance  情况；环境
coherent  连贯的；一致的
coincide  同时发生；一致
commodity  商品；日用品
compile  编译；汇编
complement  补充；互补
component  组成部分；部件
comprehensive  全面的；综合的
comprise  包括；由...组成
conceive  构思；设想
conclude  结束；推断出
concurrent  同时发生的
conduct  行为； conducting 进行
conflict  冲突；矛盾
consequence  后果；结果
considerable  相当大的；可观的
constant  恒定的；不断的
constitute  构成；组成
constrain  限制；约束
consume  消耗；消费
contemporary  当代的；同时期的
context  上下文；背景
contradict  反驳；与...矛盾
contribute  贡献；捐助
convention  惯例；大会
convince  使确信；说服
corporate  公司的；法人的
correspond  相符；通信
credible  可信的；可靠的
criterion  标准；准则
crucial  至关重要的
deduce  推断；演绎
define  定义；明确
delegate  委派；代表
demonstrate  证明；示范
derive  源于；获得
dimension  维度；尺寸
diminish  减少；缩小
distinct  不同的；明显的
distribute  分配；分布
diverse  多样的；不同的
domain  领域；范围
domestic  国内的；家庭的
dominant  占主导的；支配的
emerge  出现；浮现
emphasis  强调；重点
enhance  提高；增强
enormous  巨大的；庞大的
ensure  确保；保证
equivalent  等价的；相等的
essential  必不可少的
establish  建立；确立
evaluate  评估；评价
evident  明显的；显然的
evolve  进化；逐步发展
exceed  超过；超出
exclude  排除；排斥
exhibit  展览；显示
expand  扩大；扩展
explicit  明确的；直截了当的
export  出口；输出
external  外部的；外在的
facilitate  促进；使便利
factor  因素；要素
feature  特征；特色
federal  联邦的；联邦制的
finance  财政；金融
fluctuate  波动；起伏
formula  公式；方案
framework  框架；体系
function  功能；起作用
fundamental  基本的；根本的
generate  产生；生成
global  全球的；全面的
highlight  强调；突出
identical  完全相同的
ideology  意识形态
implement  实施；工具
implication  含义；影响
implicit  含蓄的；隐含的
indicate  表明；指示
individual  个人的；个体
induce  引起；诱导
inevitable  不可避免的
inflate  膨胀；充气
infrastructure  基础设施
inherent  固有的；内在的
initial  最初的；开头的
innovation  创新；革新
integrate  整合；融入
internal  内部的；里面的
interpret  解释；口译
investigate  调查；研究
invoke  援引；调用
involve  涉及；包含
isolated  孤立的；隔离的
journal  期刊；日记
justify  证明...有理
label  标签；标注
labor  劳动；劳工
layer  层；层次
legitimate  合法的；正当的
leverage  杠杆作用；利用
likewise  同样地；也
link  联系；链接
locate  定位；位于
magnify  放大；扩大
maintain  维持；保养
manual  手工的；手册
margin  边缘；余地
mature  成熟的
media  媒体；媒介
method  方法；方式
migrate  迁移；移居
minimal  最小的；最低限度的
modify  修改；调整
monitor  监控；监视
mutual  相互的；共同的
neutral  中立的；中性的
norm  规范；标准
notion  概念；观念
objective  目标；客观的
obtain  获得；得到
obvious  明显的
occupy  占据；使忙碌
occur  发生；出现
operate  运营；操作
option  选项；选择
orient  定向；适应
outcome  结果；成果
overall  全面的；总体的
overlap  重叠；交叠
participate  参与；参加
perceive  察觉；感知
period  时期；阶段
permanent  永久的；长期的
phase  阶段；时期
phenomenon  现象
policy  政策；方针
portion  部分；一份
potential  潜在的；潜力
predict  预测；预言
predominant  占主导的
primary  首要的；主要的
principle  原则；原理
priority  优先；优先事项
process  过程；处理
promote  促进；提升
proportion  比例；部分
prosper  繁荣；兴旺
publish  出版；发表
purchase  购买；采购
pursue  追求；从事
qualify  使具备资格
quote  引用；报价
random  随机的；任意的
range  范围；变动
rate  比率；评价
ratio  比率；比例
react  反应；起反应
region  地区；区域
register  登记；注册
regulate  管理；调节
release  释放；发布
relevant  相关的；切题的
rely  依赖；依靠
remove  移除；消除
require  需要；要求
research  研究；调查
resolve  解决；决心
resource  资源；资料
respond  回应；答复
restrict  限制；约束
retain  保留；保持
reveal  揭示；显示
revise  修订；复习
route  路线；路径
sector  部门；行业
sequence  顺序；序列
series  系列；连续
shift  转移；改变
significant  重要的；意义重大的
similar  相似的；类似的
site  地点；场所
source  来源；出处
specific  具体的；特定的
stable  稳定的；稳固的
statistic  统计数据
status  状态；地位
strategy  策略；战略
stress  压力；强调
structure  结构；构造
subsequent  随后的；后来的
sufficient  足够的；充足的
summarize  总结；概述
supplement  补充；增补
survey  调查；测量
survive  幸存；存活
sustain  维持；持续
symbol  符号；象征
tape  磁带；胶带
target  目标；靶子
tension  紧张；拉力
terminal  终端；末期
theory  理论；学说
topic  主题；话题
trace  追踪；痕迹
tradition  传统；惯例
transfer  转移；转让
transform  转变；改变
transit  运输；过渡
trend  趋势；动向
trigger  触发；引发
unique  独特的；唯一的
valid  有效的；合理的
vary  变化；不同
vehicle  车辆；媒介
version  版本；译本
via  经由；通过
violate  违反；违背
virtual  虚拟的；实际上的
visible  可见的；明显的
volume  卷；体积；音量
welfare  福利；幸福
whereas  然而；鉴于
widespread  广泛的；普遍的
